datetime,riskfree_rate
2018/5/23,3.201
2018/5/24,3.1737
2018/5/25,3.196
2018/5/28,3.2168
2018/5/29,3.2265
2018/5/30,3.2261
2018/5/31,3.2315
2018/6/1,3.1591
2018/6/4,3.1628
2018/6/5,3.1919
2018/6/6,3.2158
2018/6/7,3.2217
2018/6/8,3.222
2018/6/11,3.1941
2018/6/12,3.2279
2018/6/13,3.2444
2018/6/14,3.2114
2018/6/15,3.2104
2018/6/19,3.2315
2018/6/20,3.2304
2018/6/21,3.2787
2018/6/22,3.2925
2018/6/25,3.2541
2018/6/26,3.2633
2018/6/27,3.2725
2018/6/28,3.2504
2018/6/29,3.1954
2018/7/2,3.1941
2018/7/3,3.1794
2018/7/4,3.084
2018/7/5,3.0612
2018/7/6,3.0596
2018/7/9,3.0379
2018/7/10,3.0616
2018/7/11,3.0624
2018/7/12,3.031
2018/7/13,3.0296
2018/7/16,3.0825
2018/7/17,3.0823
2018/7/18,3.0804
2018/7/19,3.0605
2018/7/20,2.9775
2018/7/23,3.0812
2018/7/24,3.0992
2018/7/25,3.101
2018/7/26,3.099
2018/7/27,3.0352
2018/7/30,2.9634
2018/7/31,2.9375
2018/8/1,2.8531
2018/8/2,2.8424
2018/8/3,2.7946
2018/8/6,2.7423
2018/8/7,2.6748
2018/8/8,2.6702
2018/8/9,2.7137
2018/8/10,2.7893
2018/8/13,2.8064
2018/8/14,2.8716
2018/8/15,2.8419
2018/8/16,2.8397
2018/8/17,2.9068
2018/8/20,2.9428
2018/8/21,2.9491
2018/8/22,2.9473
2018/8/23,2.8977
2018/8/24,2.8622
2018/8/27,2.8898
2018/8/28,2.9084
2018/8/29,2.8723
2018/8/30,2.873
2018/8/31,2.8644
2018/9/3,2.8706
2018/9/4,2.8691
2018/9/5,2.8669
2018/9/6,2.8721
2018/9/7,2.8757
2018/9/10,2.8863
2018/9/11,2.8979
2018/9/12,2.9062
2018/9/13,2.8876
2018/9/14,2.893
2018/9/17,2.8922
2018/9/18,2.9115
2018/9/19,2.906
2018/9/20,2.9139
2018/9/21,2.981
2018/9/25,3.0106
2018/9/26,3.0094
2018/9/27,3.0127
2018/9/28,2.9742
2018/9/29,2.9626
2018/9/30,2.938
2018/10/8,2.9843
2018/10/9,2.9603
2018/10/10,2.9426
2018/10/11,2.9228
2018/10/12,2.908
2018/10/15,2.9035
2018/10/16,2.8866
2018/10/17,2.9037
2018/10/18,2.903
2018/10/19,2.9069
2018/10/22,2.9248
2018/10/23,2.9117
2018/10/24,2.9079
2018/10/25,2.8788
2018/10/26,2.8599
2018/10/29,2.8561
2018/10/30,2.8387
2018/10/31,2.8492
2018/11/1,2.8332
2018/11/2,2.8339
2018/11/5,2.8195
2018/11/6,2.795
2018/11/7,2.7757
2018/11/8,2.7349
2018/11/9,2.6989
2018/11/12,2.7069
2018/11/13,2.6397
2018/11/14,2.5991
2018/11/15,2.5947
2018/11/16,2.5665
2018/11/19,2.5768
2018/11/20,2.5835
2018/11/21,2.5551
2018/11/22,2.5707
2018/11/23,2.5364
2018/11/26,2.5601
2018/11/27,2.5549
2018/11/28,2.5542
2018/11/29,2.5457
2018/11/30,2.5122
2018/12/3,2.5248
2018/12/4,2.5287
2018/12/5,2.5222
2018/12/6,2.5141
2018/12/7,2.5135
2018/12/10,2.5115
2018/12/11,2.4988
2018/12/12,2.4897
2018/12/13,2.5066
2018/12/14,2.514
2018/12/17,2.5145
2018/12/18,2.551
2018/12/19,2.5607
2018/12/20,2.6457
2018/12/21,2.5776
2018/12/24,2.6177
2018/12/25,2.6276
2018/12/26,2.6469
2018/12/27,2.6459
2018/12/28,2.5443
2018/12/29,2.4523
2019/1/2,2.5535
2019/1/3,2.448
2019/1/4,2.4223
2019/1/7,2.4048
2019/1/8,2.3918
2019/1/9,2.3382
2019/1/10,2.3618
2019/1/11,2.353
2019/1/14,2.3763
2019/1/15,2.4024
2019/1/16,2.3851
2019/1/17,2.3576
2019/1/18,2.3514
2019/1/21,2.3916
2019/1/22,2.4015
2019/1/23,2.3928
2019/1/24,2.3945
2019/1/25,2.3912
2019/1/28,2.3851
2019/1/29,2.3985
2019/1/30,2.3964
2019/1/31,2.3858
2019/2/1,2.3854
2019/2/2,2.3809
2019/2/3,2.3841
2019/2/11,2.3677
2019/2/12,2.3832
2019/2/13,2.3672
2019/2/14,2.3661
2019/2/15,2.3668
2019/2/18,2.3639
2019/2/19,2.3683
2019/2/20,2.324
2019/2/21,2.348
2019/2/22,2.3366
2019/2/25,2.37
2019/2/26,2.3714
2019/2/27,2.3952
2019/2/28,2.4126
2019/3/1,2.4419
2019/3/4,2.4553
2019/3/5,2.4606
2019/3/6,2.455
2019/3/7,2.448
2019/3/8,2.4755
2019/3/11,2.4487
2019/3/12,2.448
2019/3/13,2.4541
2019/3/14,2.4707
2019/3/15,2.4733
2019/3/18,2.4748
2019/3/19,2.4826
2019/3/20,2.4802
2019/3/21,2.456
2019/3/22,2.4678
2019/3/25,2.46
2019/3/26,2.4947
2019/3/27,2.496
2019/3/28,2.4937
2019/3/29,2.4801
2019/4/1,2.478
2019/4/2,2.4787
2019/4/3,2.483
2019/4/4,2.5022
2019/4/8,2.5208
2019/4/9,2.5116
2019/4/10,2.5286
2019/4/11,2.5534
2019/4/12,2.5544
2019/4/15,2.5951
2019/4/16,2.6066
2019/4/17,2.6577
2019/4/18,2.7053
2019/4/19,2.702
2019/4/22,2.7066
2019/4/23,2.7182
2019/4/24,2.7037
2019/4/25,2.724
2019/4/26,2.7097
2019/4/28,2.6845
2019/4/29,2.6943
2019/4/30,2.6981
2019/5/5,2.7152
2019/5/6,2.6676
2019/5/7,2.6723
2019/5/8,2.675
2019/5/9,2.6865
2019/5/10,2.686
2019/5/13,2.6689
2019/5/14,2.6725
2019/5/15,2.6961
2019/5/16,2.6804
2019/5/17,2.6832
2019/5/20,2.6414
2019/5/21,2.6596
2019/5/22,2.6715
2019/5/23,2.6577
2019/5/24,2.6781
2019/5/27,2.6649
2019/5/28,2.7147
2019/5/29,2.6856
2019/5/30,2.6722
2019/5/31,2.6237
2019/6/3,2.641
2019/6/4,2.6452
2019/6/5,2.6358
2019/6/6,2.6313
2019/6/10,2.6428
2019/6/11,2.6436
2019/6/12,2.655
2019/6/13,2.6618
2019/6/14,2.6795
2019/6/17,2.6863
2019/6/18,2.7129
2019/6/19,2.7118
2019/6/20,2.6742
2019/6/21,2.6496
2019/6/24,2.6525
2019/6/25,2.6517
2019/6/26,2.6478
2019/6/27,2.6207
2019/6/28,2.6199
2019/7/1,2.6392
2019/7/2,2.646
2019/7/3,2.6096
2019/7/4,2.5847
2019/7/5,2.582
2019/7/8,2.5884
2019/7/9,2.6028
2019/7/10,2.6155
2019/7/11,2.5813
2019/7/12,2.5987
2019/7/15,2.6017
2019/7/16,2.6078
2019/7/17,2.6147
2019/7/18,2.6309
2019/7/19,2.6373
2019/7/22,2.6335
2019/7/23,2.6253
2019/7/24,2.6232
2019/7/25,2.6239
2019/7/26,2.6247
2019/7/29,2.617
2019/7/30,2.6155
2019/7/31,2.6069
2019/8/1,2.5286
2019/8/2,2.4841
2019/8/5,2.4843
2019/8/6,2.4742
2019/8/7,2.4706
2019/8/8,2.4708
2019/8/9,2.4709
2019/8/12,2.4675
2019/8/13,2.4668
2019/8/14,2.4997
2019/8/15,2.4985
2019/8/16,2.4994
2019/8/19,2.4996
2019/8/20,2.4995
2019/8/21,2.4999
2019/8/22,2.5047
2019/8/23,2.4917
2019/8/26,2.5007
2019/8/27,2.4728
2019/8/28,2.5051
2019/8/29,2.5034
2019/8/30,2.5064
2019/9/2,2.6003
2019/9/3,2.6088
2019/9/4,2.6006
2019/9/5,2.5935
2019/9/6,2.5913
2019/9/9,2.591
2019/9/10,2.5959
2019/9/11,2.5905
2019/9/12,2.584
2019/9/16,2.5918
2019/9/17,2.574
2019/9/18,2.5746
2019/9/19,2.5762
2019/9/20,2.5765
2019/9/23,2.5813
2019/9/24,2.5758
2019/9/25,2.5832
2019/9/26,2.5703
2019/9/27,2.567
2019/9/29,2.5553
2019/9/30,2.5502
2019/10/8,2.5492
2019/10/9,2.5411
2019/10/10,2.5508
2019/10/11,2.5474
2019/10/12,2.5509
2019/10/14,2.5517
2019/10/15,2.542
2019/10/16,2.543
2019/10/17,2.5491
2019/10/18,2.545
2019/10/21,2.5611
2019/10/22,2.5715
2019/10/23,2.5719
2019/10/24,2.6053
2019/10/25,2.5885
2019/10/28,2.597
2019/10/29,2.6322
2019/10/30,2.6437
2019/10/31,2.6553
2019/11/1,2.6294
2019/11/4,2.6385
2019/11/5,2.6559
2019/11/6,2.6612
2019/11/7,2.6597
2019/11/8,2.6655
2019/11/11,2.658
2019/11/12,2.6552
2019/11/13,2.6569
2019/11/14,2.6794
2019/11/15,2.6898
2019/11/18,2.6761
2019/11/19,2.6763
2019/11/20,2.6598
2019/11/21,2.6454
2019/11/22,2.6381
2019/11/25,2.6488
2019/11/26,2.6474
2019/11/27,2.6452
2019/11/28,2.6399
2019/11/29,2.6472
2019/12/2,2.6503
2019/12/3,2.6485
2019/12/4,2.6437
2019/12/5,2.6467
2019/12/6,2.6469
2019/12/9,2.6519
2019/12/10,2.6582
2019/12/11,2.6692
2019/12/12,2.6741
2019/12/13,2.6654
2019/12/16,2.6477
2019/12/17,2.6429
2019/12/18,2.6503
2019/12/19,2.6382
2019/12/20,2.6082
2019/12/23,2.5904
2019/12/24,2.5298
2019/12/25,2.4895
2019/12/26,2.4525
2019/12/27,2.3939
2019/12/30,2.3657
2019/12/31,2.38
2020/1/2,2.4
2020/1/3,2.4358
2020/1/6,2.4127
2020/1/7,2.4026
2020/1/8,2.3856
2020/1/9,2.3604
2020/1/10,2.362
2020/1/13,2.3588
2020/1/14,2.3505
2020/1/15,2.3519
2020/1/16,2.3413
2020/1/17,2.3249
2020/1/19,2.3037
2020/1/20,2.3148
2020/1/21,2.2662
2020/1/22,2.248
2020/1/23,2.2184
2020/2/3,2.0805
2020/2/4,2.0805
2020/2/5,2.1327
2020/2/6,2.1317
2020/2/7,2.0951
2020/2/10,2.0673
2020/2/11,2.0597
2020/2/12,2.0905
2020/2/13,2.037
2020/2/14,2.0726
2020/2/17,2.0966
2020/2/18,2.0618
2020/2/19,2.0633
2020/2/20,2.0748
2020/2/21,2.055
2020/2/24,2.0027
2020/2/25,2.0041
2020/2/26,2.0296
2020/2/27,2.04
2020/2/28,2.0006
2020/3/2,2.0556
2020/3/3,2.0518
2020/3/4,2.0383
2020/3/5,2.0431
2020/3/6,2.0447
2020/3/9,1.951
2020/3/10,2.0069
2020/3/11,2.049
2020/3/12,2.0411
2020/3/13,2.0367
2020/3/16,2.0594
2020/3/17,2.0362
2020/3/18,2.047
2020/3/19,1.9671
2020/3/20,1.9523
2020/3/23,1.9407
2020/3/24,1.8598
2020/3/25,1.8211
2020/3/26,1.7199
2020/3/27,1.7427
2020/3/30,1.7472
2020/3/31,1.743
2020/4/1,1.7286
2020/4/2,1.6699
2020/4/3,1.6762
2020/4/7,1.4903
2020/4/8,1.2754
2020/4/9,1.1869
2020/4/10,1.1948
2020/4/13,1.2435
2020/4/14,1.2407
2020/4/15,1.2002
2020/4/16,1.197
2020/4/17,1.1834
2020/4/20,1.2139
2020/4/21,1.212
2020/4/22,1.1663
2020/4/23,1.1617
2020/4/24,1.1668
2020/4/26,1.2087
2020/4/27,1.219
2020/4/28,1.1966
2020/4/29,1.1899
2020/4/30,1.1643
2020/5/6,1.1796
2020/5/7,1.1973
2020/5/8,1.2188
2020/5/9,1.204
2020/5/11,1.2421
2020/5/12,1.2721
2020/5/13,1.2464
2020/5/14,1.2375
2020/5/15,1.2381
2020/5/18,1.2544
2020/5/19,1.2899
2020/5/20,1.2965
2020/5/21,1.3743
2020/5/22,1.3884
2020/5/25,1.3957
2020/5/26,1.4609
2020/5/27,1.5157
2020/5/28,1.5865
2020/5/29,1.589
2020/6/1,1.5387
2020/6/2,1.5777
2020/6/3,1.7409
2020/6/4,1.827
2020/6/5,2.0307
2020/6/8,2.0536
2020/6/9,2.0686
2020/6/10,2.0506
2020/6/11,2.1004
2020/6/12,2.033
2020/6/15,2.0215
2020/6/16,2.0624
2020/6/17,2.0866
2020/6/18,2.1187
2020/6/19,2.1094
2020/6/22,2.1168
2020/6/23,2.2042
2020/6/24,2.1418
2020/6/28,2.1235
2020/6/29,2.1136
2020/6/30,2.0781
2020/7/1,1.9725
2020/7/2,1.957
2020/7/3,1.9704
2020/7/6,1.9873
2020/7/7,2.0646
2020/7/8,2.0133
2020/7/9,2.0405
2020/7/10,2.0725
2020/7/13,2.0784
2020/7/14,2.0964
2020/7/15,2.0597
2020/7/16,2.1173
2020/7/17,2.0998
2020/7/20,2.1093
2020/7/21,2.1034
2020/7/22,2.1196
2020/7/23,2.1235
2020/7/24,2.1226
2020/7/27,2.1353
2020/7/28,2.1428
2020/7/29,2.1461
2020/7/30,2.1518
2020/7/31,2.1568
2020/8/3,2.1915
2020/8/4,2.1412
2020/8/5,2.1624
2020/8/6,2.1952
2020/8/7,2.2113
2020/8/10,2.2003
2020/8/11,2.1746
2020/8/12,2.1888
2020/8/13,2.2233
2020/8/14,2.2323
2020/8/17,2.2376
2020/8/18,2.2484
2020/8/19,2.2668
2020/8/20,2.3438
2020/8/21,2.3367
2020/8/24,2.3525
2020/8/25,2.3694
2020/8/26,2.397
2020/8/27,2.3908
2020/8/28,2.4133
2020/8/31,2.4206
2020/9/1,2.5044
2020/9/2,2.5346
2020/9/3,2.5742
2020/9/4,2.5824
2020/9/7,2.6239
2020/9/8,2.651
2020/9/9,2.6361
2020/9/10,2.6263
2020/9/11,2.6083
2020/9/14,2.6346
