order_book_id,2022/12/31,2023/6/30,2023/12/31,2024/6/30,2024/12/31,2025/6/30
743,13.2265,12.5455,12.2104,8.7225,20.6651,19.4329
746,36.8609,29.2992,31.5459,32.4932,30.3107,44.3547
747,71.0898,75.8137,78.4943,72.7335,76.2814,71.9052
751,51.2045,53.1109,66.5462,69.0844,70.0838,67.8052
755,74.9796,63.2496,76.9152,64.6488,80.4128,57.2793
756,55.8648,70.4971,49.9386,66.9564,71.2866,63.7611
757,66.0035,53.323,60.3329,61.1365,74.2896,58.8122
761,38.9555,57.4733,53.8974,51.155,45.4981,39.7441
763,62.8122,64.0258,39.8658,42.2109,46.9245,49.7322
767,75.9233,87.1448,78.819,81.6153,83.6633,85.6215
772,51.4593,45.0895,54.817,60.9156,59.721,71.6523
778,71.6267,72.6797,75.6688,90.1259,90.6992,91.2163
780,65.9425,59.8832,87.0452,73.4729,77.6024,72.585
788,69.0542,64.0888,70.8979,66.4253,54.2856,57.0732
793,68.7707,76.618,77.1185,83.0163,80.1861,84.1692
794,77.7819,69.7722,86.9654,80.0375,87.229,86.7811
796,77.7819,69.7722,86.9654,80.0375,87.229,86.7811
800,58.2194,59.7343,60.6394,57.3522,60.158,50.7514
803,24.6292,47.8329,39.7533,49.1341,49.6251,71.3382
804,2.7455,17.1236,0,0,0,9.6001
805,47.5242,36.5917,37.2523,51.7284,39.295,54.4684
822,56.9602,49.3788,9.9488,2.6241,15.9749,0.9202
823,85.638,58.4059,82.0518,89.5491,77.5936,85.3615
824,88.2238,76.0554,68.4199,72.5439,74.0712,70.4154
825,88.2238,76.0554,68.4199,72.5439,74.0712,70.4154
828,88.1912,80.0462,85.466,93.8539,87.2593,85.9804
831,57.7072,63.2105,62.7695,70.783,70.7216,71.897
841,12.2571,7.6194,7.1106,7.2127,18.5501,16.315
843,12.2571,7.6194,7.1106,7.2127,18.5501,16.315
845,77.9639,49.6011,47.1452,17.312,54.7567,69.0534
849,53.9428,73.6374,75.2942,88.7529,78.6545,87.995
850,53.9428,73.6374,75.2942,88.7529,78.6545,87.995
854,60.6634,57.3513,81.3587,75.5734,79.5751,73.151
866,84.1638,90.7437,86.1759,76.5255,69.6165,83.4125
867,69.4145,88.8154,85.1257,87.5188,89.5555,81.8172
870,71.3915,66.4323,70.949,70.2766,37.9023,24.7714
877,52.382,50.9625,52.1702,46.4786,50.0359,43.2685
878,64.9018,71.8685,76.7961,85.0581,74.973,74.0545
879,64.9018,71.8685,76.7961,85.0581,74.973,74.0545
880,35.1047,42.5982,49.1171,60.4035,43.3809,52.5662
884,71.5893,43.6493,63.043,72.6002,65.2144,73.9489
892,78.5483,69.9776,76.2315,0,0,0
893,35.0986,46.9448,49.6046,52.7767,55.0459,54.2003
894,8.0392,0,3.7019,3.2925,3.6931,0
904,56.5434,46.4985,42.7434,38.7056,38.0732,18.3732
913,66.855,79.8369,76.5353,81.8084,82.3731,81.5733
916,34.372,37.1276,38.4919,34.8534,34.0462,33.9393
924,85.228,79.6696,84.5818,74.397,82.129,82.5242
925,43.0873,43.0712,40.523,36.4622,46.0465,48.4345
926,45.575,51.2182,56.1633,55.0734,56.7096,56.4871
928,42.5202,52.8127,36.0687,38.5681,16.0378,30.2376
932,7.0448,13.6488,14.3764,12.9069,9.5401,11.2782
933,7.0448,13.6488,14.3764,12.9069,9.5401,11.2782
935,53.3737,70.0921,71.5149,68.1644,72.015,59.2506
936,67.485,50.4593,51.3931,36.5553,55.1187,39.516
939,43.8042,63.7562,59.85,66.1128,73.7421,51.6626
940,43.9401,36.8788,50.5897,59.8775,52.236,59.5894
945,52.176,63.4647,70.3676,76.6373,71.6408,74.3339
946,52.176,63.4647,70.3676,76.6373,71.6408,74.3339
953,13.7907,12.8219,0,0,0,0
954,13.7907,12.8219,0,0,0,0
955,59.8743,58.8431,56.6468,61.2602,67.8246,68.7661
960,72.7289,70.6827,70.2809,69.8955,65.4838,60.6314
963,67.8323,69.0277,74.8378,52.3912,73.6667,46.6176
965,56.1635,59.6628,47.0656,55.0013,75.6623,79.8329
966,80.0991,51.8665,64.3272,70.558,62.3552,66.3261
967,66.6284,62.5568,60.3082,60.247,63.0428,73.6586
969,76.1934,58.5206,50.7865,45.7087,43.1219,62.7524
970,59.6028,64.704,67.1238,57.3377,65.6517,63.7587
971,62.7068,72.5117,66.8202,51.9512,42.7743,47.6786
972,64.0855,0.0504,0,0,0,0
974,77.7725,75.1722,78.1289,59.2588,71.5459,62.767
976,77.1028,77.7606,82.0901,81.9021,84.6976,86.666
977,76.9598,80.0324,78.7046,73.4212,84.8802,77.2904
978,54.7393,55.4513,58.7726,58.154,60.5331,54.4976
979,22.5218,34.1563,33.6423,33.7131,36.9092,36.3425
985,84.5586,80.121,68.6049,88.6456,81.4598,55.1214
986,71.5708,54.357,42.7098,19.4245,26.6828,53.0796
991,30.0971,27.7297,30.8666,32.9815,33.9387,41.897
993,34.5691,41.9548,37.7918,31.2387,31.7408,26.9868
994,60.5619,59.8418,57.0859,57.7317,54.6162,63.3498
995,60.5619,59.8418,57.0859,57.7317,54.6162,63.3498
996,44.5904,66.6984,74.9945,63.1115,51.5171,42.0577
1000,87.3258,68.0421,81.9959,87.4125,85.4805,58.6234
1004,79.4528,66.4004,68.0873,39.0882,52.6903,45.6181
1007,68.3942,49.975,63.9278,46.1257,63.6321,50.44
1008,63.4706,49.2302,44.5464,35.9528,38.5481,38.4793
1009,64.7251,54.7727,38.1796,59.7259,72.9647,67.7537
1017,57.6132,64.6617,67.8974,66.6751,41.8024,48.2115
1018,74.2838,72.0668,65.0685,74.6093,76.1809,63.6813
1028,71.887,67.1481,67.744,71.6709,69.7804,69.1145
1030,72.6462,78.2569,70.6219,72.6108,77.1252,67.7968
1036,50.7336,67.1261,66.9516,38.4956,60.562,68.58
1037,73.5552,67.6746,81.9574,86.9628,78.8568,69.1965
1039,78.3252,79.5057,81.9158,83.1458,85.4225,77.2647
1040,83.9536,83.0985,74.2225,77.1601,82.0915,93.1859
1042,64.1513,53.1588,70.7099,75.545,63.433,71.6272
1043,59.3837,51.7957,55.0716,43.0185,63.2468,73.1508
1044,59.9235,66.0969,66.0411,62.3029,56.7029,65.277
1047,85.8607,58.8556,52.4187,47.5951,40.4097,35.2454
1048,79.6344,44.834,61.8979,67.8086,55.0303,61.7849
1053,51.5891,67.4814,64.4702,55.474,58.853,59.0441
1054,60.8343,65.8188,48.0478,56.8804,61.2541,65.773
1056,59.5573,53.1412,57.2669,66.8515,71.0293,91.3413
